 [CC] 1.6mA,,,,,
,,,,,
[Hour Passed(Hrs)],[Time(HH:MM:SS)],[Voltage(V)],[Current(mA)],[Photo Current(uA)],[Relative Luminance(%)]
0,01/26/2026 12:10:37,4.16041,1.60017,38.571,99.9
0.168,01/26/2026 12:20:35,4.15826,1.60032,38.544,100.07
0.334,01/26/2026 12:30:34,4.15788,1.60014,38.493,99.937
0.502,01/26/2026 12:40:38,4.15886,1.60016,38.517,100.001
0.668,01/26/2026 12:50:35,4.15844,1.60016,38.469,99.874
0.836,01/26/2026 13:00:39,4.15871,1.60015,38.446,99.816
1.002,01/26/2026 13:10:38,4.15903,1.60016,38.421,99.751
1.17,01/26/2026 13:20:42,4.15937,1.60011,38.425,99.761
1.336,01/26/2026 13:30:41,4.15933,1.60014,38.398,99.691
1.504,01/26/2026 13:40:46,4.15761,1.60013,38.283,99.393
1.671,01/26/2026 13:50:45,4.15953,1.60015,38.364,99.602
1.838,01/26/2026 14:00:46,4.15726,1.60017,38.226,99.243
2.005,01/26/2026 14:10:48,4.15639,1.60013,38.165,99.084
2.172,01/26/2026 14:20:49,4.16015,1.60014,38.33,99.514
2.338,01/26/2026 14:30:48,4.16025,1.60013,38.32,99.488
2.506,01/26/2026 14:40:52,4.16063,1.60009,38.326,99.505
2.672,01/26/2026 14:50:50,4.16061,1.60021,38.319,99.487
2.84,01/26/2026 15:00:53,4.16093,1.60011,38.304,99.447
3.007,01/26/2026 15:10:56,4.16141,1.60012,38.327,99.507
3.173,01/26/2026 15:20:54,4.16183,1.60008,38.32,99.489
3.341,01/26/2026 15:30:57,4.16179,1.60011,38.294,99.422
3.508,01/26/2026 15:41:00,4.16206,1.60009,38.334,99.524
3.675,01/26/2026 15:50:59,4.16212,1.60009,38.283,99.392
3.841,01/26/2026 16:00:58,4.16225,1.60008,38.289,99.409
4.009,01/26/2026 16:11:03,4.16241,1.6001,38.277,99.377
4.175,01/26/2026 16:21:01,4.16265,1.60007,38.267,99.351
4.343,01/26/2026 16:31:05,4.1627,1.60011,38.252,99.313
4.509,01/26/2026 16:41:04,4.16314,1.60011,38.271,99.362
4.677,01/26/2026 16:51:07,4.16313,1.60007,38.247,99.299
4.843,01/26/2026 17:01:05,4.16348,1.60012,38.25,99.307
5.01,01/26/2026 17:11:08,4.16355,1.60012,38.235,99.267
6.01,01/26/2026 18:11:06,4.16658,1.60012,38.301,99.439
7.01,01/26/2026 19:11:08,4.16842,1.60024,38.297,99.429
8.01,01/26/2026 20:11:07,4.17056,1.6002,38.275,99.371
9.01,01/26/2026 21:11:08,4.16974,1.60016,38.246,99.295
10.011,01/26/2026 22:11:09,4.17008,1.6001,38.226,99.244
11.011,01/26/2026 23:11:10,4.17085,1.60014,38.176,99.113
12.01,01/27/2026 00:11:06,4.17141,1.60011,38.159,99.071
13.011,01/27/2026 01:11:09,4.17204,1.60008,38.141,99.024
14.01,01/27/2026 02:11:06,4.17303,1.60009,38.136,99.011
15.01,01/27/2026 03:11:06,4.17366,1.60005,38.089,98.888
16.011,01/27/2026 04:11:11,4.17439,1.60009,38.087,98.882
17.011,01/27/2026 05:11:10,4.17514,1.60005,38.053,98.795
18.01,01/27/2026 06:11:08,4.17579,1.60009,38.059,98.811
19.011,01/27/2026 07:11:09,4.17621,1.6001,38.025,98.722
20.01,01/27/2026 08:11:08,4.17721,1.60016,38.006,98.673
21.01,01/27/2026 09:11:07,4.17784,1.60016,38,98.657
22.011,01/27/2026 10:11:10,4.1809,1.60027,37.95,98.528
23.01,01/27/2026 11:11:07,4.17947,1.60014,37.934,98.485
24.01,01/27/2026 12:11:08,4.17933,1.6001,37.93,98.474
25.01,01/27/2026 13:11:07,4.17968,1.60005,37.888,98.365
26.01,01/27/2026 14:11:06,4.17984,1.60009,37.856,98.282
27.01,01/27/2026 15:11:07,4.1803,1.60004,37.84,98.242
28.01,01/27/2026 16:11:06,4.1816,1.60017,37.854,98.276
29.011,01/27/2026 17:11:09,4.18233,1.60011,37.84,98.242
30.011,01/27/2026 18:11:09,4.18278,1.60017,37.841,98.242
31.011,01/27/2026 19:11:09,4.18357,1.60022,37.819,98.187
32.011,01/27/2026 20:11:09,4.18417,1.60027,37.793,98.119
33.011,01/27/2026 21:11:09,4.18416,1.60019,37.767,98.051
34.011,01/27/2026 22:11:09,4.18469,1.60014,37.741,97.984
35.011,01/27/2026 23:11:09,4.18551,1.60016,37.754,98.016
36.011,01/28/2026 00:11:09,4.18588,1.60016,37.726,97.945
37.01,01/28/2026 01:11:08,4.18613,1.60019,37.708,97.897
38.011,01/28/2026 02:11:10,4.18688,1.60027,37.711,97.905
39.011,01/28/2026 03:11:10,4.18733,1.60023,37.676,97.815
40.011,01/28/2026 04:11:10,4.18796,1.6003,37.666,97.79
41.011,01/28/2026 05:11:08,4.18851,1.60022,37.658,97.769
42.01,01/28/2026 06:11:06,4.18917,1.6003,37.65,97.747
43.01,01/28/2026 07:11:07,4.18998,1.60028,37.627,97.688
44.01,01/28/2026 08:11:08,4.1904,1.60031,37.616,97.659
45.011,01/28/2026 09:11:10,4.1909,1.6003,37.616,97.659
46.011,01/28/2026 10:11:08,4.19136,1.60026,37.598,97.611
47.01,01/28/2026 11:11:08,4.19106,1.60014,37.584,97.576
48.011,01/28/2026 12:11:10,4.19131,1.60012,37.567,97.532
49.011,01/28/2026 13:11:09,4.1916,1.60005,37.548,97.482
50.01,01/28/2026 14:11:08,4.19173,1.60008,37.52,97.411
51.011,01/28/2026 15:11:10,4.19237,1.60006,37.521,97.411
52.011,01/28/2026 16:11:09,4.19261,1.6001,37.492,97.337
53.01,01/28/2026 17:11:08,4.19434,1.60022,37.501,97.361
54.01,01/28/2026 18:11:08,4.19387,1.60027,37.438,97.195
55.01,01/28/2026 19:11:08,4.19516,1.60026,37.467,97.272
56.01,01/28/2026 20:11:08,4.19483,1.60021,37.427,97.169
57.01,01/28/2026 21:11:08,4.1944,1.60019,37.392,97.076
58.011,01/28/2026 22:11:09,4.19532,1.60013,37.398,97.093
59.01,01/28/2026 23:11:06,4.19525,1.60014,37.366,97.009
60.01,01/29/2026 00:11:08,4.19622,1.60012,37.371,97.023
61.01,01/29/2026 01:11:08,4.19657,1.60015,37.362,97
62.011,01/29/2026 02:11:09,4.1972,1.60021,37.362,96.998
63.01,01/29/2026 03:11:07,4.19676,1.60017,37.292,96.818
64.011,01/29/2026 04:11:10,4.19698,1.60013,37.297,96.831
65.011,01/29/2026 05:11:09,4.19671,1.60016,37.24,96.681
66.011,01/29/2026 06:11:10,4.19833,1.60016,37.292,96.816
67.01,01/29/2026 07:11:08,4.19832,1.60016,37.244,96.693
68.01,01/29/2026 08:11:08,4.19929,1.60028,37.245,96.694
69.011,01/29/2026 09:11:09,4.19943,1.60027,37.242,96.687
70.01,01/29/2026 10:11:06,4.19977,1.60019,37.239,96.68
71.01,01/29/2026 11:11:07,4.19995,1.60014,37.226,96.645
72.01,01/29/2026 12:11:08,4.20046,1.6001,37.209,96.601
73.011,01/29/2026 13:11:10,4.2008,1.60006,37.208,96.599
74.01,01/29/2026 14:11:07,4.20075,1.60005,37.168,96.496
75.01,01/29/2026 15:11:08,4.20125,1.60005,37.155,96.462
76.01,01/29/2026 16:11:08,4.20205,1.60009,37.157,96.466
77.011,01/29/2026 17:11:09,4.20163,1.60011,37.11,96.344
78.01,01/29/2026 18:11:06,4.20237,1.60014,37.13,96.396
79.01,01/29/2026 19:11:07,4.20267,1.60015,37.128,96.391
80.011,01/29/2026 20:11:09,4.20365,1.60018,37.113,96.353
81.011,01/29/2026 21:11:09,4.20364,1.60013,37.093,96.299
82.011,01/29/2026 22:11:10,4.20375,1.60007,37.069,96.238
83.011,01/29/2026 23:11:11,4.20448,1.6,37.098,96.311
84.01,01/30/2026 00:11:08,4.20514,1.60005,37.1,96.318
85.011,01/30/2026 01:11:09,4.20526,1.60005,37.059,96.212
86.01,01/30/2026 02:11:08,4.20566,1.60004,37.057,96.205
87.01,01/30/2026 03:11:07,4.20582,1.60004,37.046,96.177
88.01,01/30/2026 04:11:08,4.20659,1.60008,37.056,96.203
89.011,01/30/2026 05:11:09,4.20717,1.60009,37.033,96.145
90.011,01/30/2026 06:11:10,4.20736,1.60011,37.005,96.071
91.011,01/30/2026 07:11:10,4.20792,1.60014,36.991,96.036
92.01,01/30/2026 08:11:06,4.20818,1.60017,36.982,96.012
93.01,01/30/2026 09:11:08,4.20842,1.60017,36.988,96.028
94.011,01/30/2026 10:11:10,4.20901,1.60015,36.975,95.992
95.01,01/30/2026 11:11:08,4.20945,1.60018,36.978,96.001
96.01,01/30/2026 12:11:08,4.20968,1.60019,36.948,95.924
97.011,01/30/2026 13:11:09,4.20989,1.60021,36.923,95.859
98.01,01/30/2026 14:11:08,4.21059,1.60028,36.924,95.86
99.01,01/30/2026 15:11:07,4.2109,1.60016,36.91,95.823
100.011,01/30/2026 16:11:10,4.21134,1.60021,36.88,95.747
101.012,01/30/2026 17:11:12,4.21148,1.60023,36.882,95.751
102.011,01/30/2026 18:11:09,4.21191,1.60031,36.874,95.729
103.011,01/30/2026 19:11:11,4.21249,1.60036,36.86,95.695
104.012,01/30/2026 20:11:12,4.21295,1.60031,36.871,95.722
105.011,01/30/2026 21:11:10,4.21266,1.60033,36.818,95.586
106.01,01/30/2026 22:11:08,4.21353,1.60029,36.848,95.662
107.012,01/30/2026 23:11:12,4.21374,1.60029,36.798,95.532
108.01,01/31/2026 00:11:08,4.21441,1.60032,36.814,95.574
109.011,01/31/2026 01:11:09,4.21491,1.60036,36.84,95.642
110.01,01/31/2026 02:11:07,4.21437,1.60034,36.779,95.485
111.011,01/31/2026 03:11:09,4.21541,1.60038,36.776,95.476
112.011,01/31/2026 04:11:10,4.21577,1.60039,36.76,95.435
113.01,01/31/2026 05:11:07,4.21625,1.60041,36.769,95.459
114.011,01/31/2026 06:11:09,4.21676,1.60049,36.773,95.469
115.011,01/31/2026 07:11:10,4.21706,1.60048,36.749,95.406
116.01,01/31/2026 08:11:08,4.21743,1.6005,36.735,95.368
117.01,01/31/2026 09:11:08,4.21762,1.60048,36.698,95.272
118.011,01/31/2026 10:11:10,4.21759,1.60046,36.697,95.27
119.01,01/31/2026 11:11:07,4.21799,1.60039,36.699,95.275
120.011,01/31/2026 12:11:09,4.21801,1.60031,36.684,95.237
121.01,01/31/2026 13:11:06,4.21791,1.60021,36.653,95.156
122.01,01/31/2026 14:11:08,4.2179,1.60018,36.65,95.149
123.011,01/31/2026 15:11:09,4.21811,1.60013,36.656,95.163
124.01,01/31/2026 16:11:06,4.2177,1.60014,36.591,94.994
125.01,01/31/2026 17:11:08,4.21831,1.60006,36.587,94.984
126.011,01/31/2026 18:11:09,4.21884,1.60011,36.611,95.048
127.01,01/31/2026 19:11:07,4.21888,1.60008,36.584,94.977
128.011,01/31/2026 20:11:09,4.21861,1.60015,36.537,94.854
129.012,01/31/2026 21:11:13,4.21987,1.60013,36.566,94.93
130.011,01/31/2026 22:11:11,4.21973,1.60018,36.542,94.867
131.01,01/31/2026 23:11:08,4.22003,1.60019,36.509,94.782
132.011,02/01/2026 00:11:10,4.22074,1.6002,36.519,94.808
133.01,02/01/2026 01:11:07,4.22124,1.60022,36.52,94.811
134.011,02/01/2026 02:11:09,4.22141,1.60016,36.5,94.758
