 [CC] 1.6mA,,,,,
,,,,,
[Hour Passed(Hrs)],[Time(HH:MM:SS)],[Voltage(V)],[Current(mA)],[Photo Current(uA)],[Relative Luminance(%)]
0,01/29/2026 15:47:13,4.14295,1.6001,38.484,100
0.167,01/29/2026 15:57:10,4.13588,1.60001,38.498,99.992
0.334,01/29/2026 16:07:11,4.13601,1.59996,38.498,99.992
0.502,01/29/2026 16:17:13,4.13631,1.59997,38.479,99.941
0.669,01/29/2026 16:27:15,4.13647,1.59996,38.462,99.897
0.835,01/29/2026 16:37:13,4.13684,1.59997,38.477,99.937
1.003,01/29/2026 16:47:17,4.13499,1.59998,38.347,99.598
1.169,01/29/2026 16:57:15,4.13619,1.59995,38.394,99.721
1.336,01/29/2026 17:07:17,4.13669,1.59996,38.41,99.762
1.503,01/29/2026 17:17:19,4.13696,1.6,38.381,99.686
1.67,01/29/2026 17:27:21,4.13742,1.59999,38.392,99.715
1.838,01/29/2026 17:37:23,4.13802,1.59996,38.411,99.765
2.004,01/29/2026 17:47:21,4.13748,1.60004,38.347,99.6
2.171,01/29/2026 17:57:25,4.13797,1.60001,38.362,99.637
2.339,01/29/2026 18:07:29,4.13847,1.59999,38.352,99.612
2.505,01/29/2026 18:17:27,4.139,1.60001,38.362,99.639
2.673,01/29/2026 18:27:29,4.13945,1.60001,38.371,99.663
2.84,01/29/2026 18:37:33,4.13968,1.60003,38.38,99.685
3.007,01/29/2026 18:47:31,4.13999,1.60004,38.379,99.682
3.174,01/29/2026 18:57:33,4.14018,1.60004,38.368,99.655
3.34,01/29/2026 19:07:32,4.14041,1.60005,38.358,99.628
3.508,01/29/2026 19:17:36,4.14071,1.60006,38.34,99.58
3.674,01/29/2026 19:27:34,4.14078,1.60005,38.353,99.614
3.842,01/29/2026 19:37:39,4.14109,1.6001,38.344,99.592
4.008,01/29/2026 19:47:37,4.1412,1.60005,38.324,99.54
4.176,01/29/2026 19:57:42,4.14152,1.60007,38.342,99.587
4.342,01/29/2026 20:07:40,4.14177,1.60007,38.304,99.488
4.51,01/29/2026 20:17:42,4.14183,1.60004,38.309,99.501
4.676,01/29/2026 20:27:42,4.14192,1.60006,38.323,99.536
4.844,01/29/2026 20:37:44,4.14179,1.60006,38.306,99.492
5.011,01/29/2026 20:47:47,4.14218,1.60006,38.295,99.463
6.011,01/29/2026 21:47:47,4.14317,1.59998,38.275,99.411
7.01,01/29/2026 22:47:44,4.1439,1.59994,38.262,99.378
8.01,01/29/2026 23:47:44,4.14446,1.59995,38.225,99.282
9.011,01/30/2026 00:47:46,4.14552,1.59995,38.2,99.216
10.011,01/30/2026 01:47:47,4.14612,1.59997,38.18,99.166
11.011,01/30/2026 02:47:47,4.14678,1.6,38.143,99.07
12.011,01/30/2026 03:47:46,4.14754,1.60001,38.124,99.02
13.01,01/30/2026 04:47:44,4.14827,1.60005,38.11,98.983
14.011,01/30/2026 05:47:47,4.1491,1.60003,38.09,98.931
15.01,01/30/2026 06:47:44,4.14993,1.60005,38.065,98.868
16.011,01/30/2026 07:47:47,4.15062,1.60008,38.045,98.816
17.01,01/30/2026 08:47:44,4.15113,1.60006,38.03,98.775
18.011,01/30/2026 09:47:46,4.15165,1.60003,37.999,98.696
19.01,01/30/2026 10:47:44,4.15229,1.60008,37.971,98.622
20.01,01/30/2026 11:47:45,4.1529,1.60004,37.938,98.537
21.01,01/30/2026 12:47:45,4.15356,1.6001,37.929,98.512
22.011,01/30/2026 13:47:46,4.1541,1.60014,37.936,98.53
23.011,01/30/2026 14:47:47,4.15459,1.60008,37.898,98.434
24.011,01/30/2026 15:47:47,4.15558,1.60011,37.893,98.419
25.01,01/30/2026 16:47:44,4.1559,1.60015,37.882,98.392
26.011,01/30/2026 17:47:46,4.15634,1.60017,37.863,98.342
