Order,Volt (V),Current (§Ì),ABS Current (§Ì),J (mA/cm2),ABS J (mA/cm2),cd/m2,cd/A,lm/W,Quantum Efficiency,CIEx,CIEy,CCT,380,384,388,392,396,400,404,408,412,416,420,424,428,432,436,440,444,448,452,456,460,464,468,472,476,480,484,488,492,496,500,504,508,512,516,520,524,528,532,536,540,544,548,552,556,560,564,568,572,576,580,584,588,592,596,600,604,608,612,616,620,624,628,632,636,640,644,648,652,656,660,664,668,672,676,680,684,688,692,696,700,704,708,712,716,720,724,728,732,736,740,744,748,752,756,760,764,768,772,776,780,
1,2.530680000,0.010000400,0.010000400,0.250010000,0.250010000,171.100,68.4373,84.9582,18.3565,0.3503,0.6173,5267,0.0000062750,0.0000104400,0.0000071420,0.0000053740,0.0000039520,0.0000039150,0.0000045010,0.0000027260,0.0000031670,0.0000024620,0.0000030170,0.0000042260,0.0000019630,0.0000024640,0.0000024790,0.0000029600,0.0000026030,0.0000033080,0.0000038340,0.0000040200,0.0000046740,0.0000068310,0.0000092510,0.0000138200,0.0000217000,0.0000353900,0.0000632500,0.0001178000,0.0002188000,0.0004002000,0.0007124000,0.0012480000,0.0018970000,0.0026180000,0.0032960000,0.0038290000,0.0041650000,0.0042670000,0.0042060000,0.0040460000,0.0038490000,0.0036500000,0.0034550000,0.0033080000,0.0031870000,0.0030600000,0.0029150000,0.0027290000,0.0025080000,0.0022950000,0.0020760000,0.0018630000,0.0016580000,0.0014600000,0.0013080000,0.0011730000,0.0010550000,0.0009442000,0.0008380000,0.0007538000,0.0006759000,0.0006037000,0.0005319000,0.0004658000,0.0004134000,0.0003651000,0.0003221000,0.0002802000,0.0002477000,0.0002195000,0.0001974000,0.0001767000,0.0001529000,0.0001343000,0.0001232000,0.0001105000,0.0000965300,0.0000872600,0.0000769000,0.0000678700,0.0000653900,0.0000558400,0.0000469700,0.0000442100,0.0000411800,0.0000419800,0.0000365200,0.0000388100,0.0000314500,0.0000311300,0.0000247800,0.0000232200,0.0000237700,0.0000225100,0.0000133700,0.0000299100,0.0000204600,0.0000220500,0.0000269200,0.0000327600,0.0000365600,
2,2.810270000,0.050014400,0.050014400,1.250360000,1.250360000,827.600,66.1889,73.9924,17.7359,0.3495,0.6176,5278,0.0000283500,0.0000177700,0.0000183700,0.0000286300,0.0000260400,0.0000189600,0.0000088460,0.0000226800,0.0000207600,0.0000158000,0.0000072580,0.0000116000,0.0000086460,0.0000119200,0.0000145300,0.0000225200,0.0000253300,0.0000112600,0.0000188400,0.0000307300,0.0000245600,0.0000358600,0.0000503300,0.0000649800,0.0000974100,0.0001846000,0.0003234000,0.0005907000,0.0010860000,0.0019860000,0.0035330000,0.0061740000,0.0093510000,0.0128600000,0.0161400000,0.0187000000,0.0202700000,0.0207000000,0.0203500000,0.0195300000,0.0185600000,0.0176000000,0.0166700000,0.0159700000,0.0153900000,0.0147700000,0.0140600000,0.0131500000,0.0120800000,0.0110500000,0.0099850000,0.0089520000,0.0079630000,0.0070220000,0.0062850000,0.0056400000,0.0050780000,0.0045460000,0.0040510000,0.0036450000,0.0032730000,0.0029250000,0.0025880000,0.0022790000,0.0020250000,0.0018010000,0.0015830000,0.0013890000,0.0012220000,0.0010840000,0.0009667000,0.0008519000,0.0007492000,0.0006640000,0.0005827000,0.0005118000,0.0004460000,0.0003926000,0.0003486000,0.0002948000,0.0002459000,0.0002068000,0.0001797000,0.0001629000,0.0001535000,0.0001209000,0.0001087000,0.0000686500,0.0000688000,0.0000589300,0.0000371500,0.0000581300,0.0000446100,0.0000697700,0.0000720300,0.0001039000,0.0001102000,0.0001337000,0.0002270000,0.0002414000,0.0002912000,
3,2.961710000,0.090017600,0.090017600,2.250440000,2.250440000,1458.000,64.7873,68.7222,17.4373,0.3491,0.6176,5284,0.0000564800,0.0000460200,0.0000283600,0.0000345900,0.0000331700,0.0000382400,0.0000367600,0.0000282000,0.0000298100,0.0000189400,0.0000250100,0.0000312000,0.0000387100,0.0000382300,0.0000397800,0.0000361500,0.0000444800,0.0000460600,0.0000527200,0.0000579100,0.0000688500,0.0000766000,0.0000960600,0.0001197000,0.0001945000,0.0003237000,0.0005683000,0.0010330000,0.0019200000,0.0035240000,0.0062790000,0.0109600000,0.0165900000,0.0227800000,0.0285400000,0.0330200000,0.0357400000,0.0364700000,0.0358200000,0.0343900000,0.0326800000,0.0309800000,0.0293400000,0.0281100000,0.0270900000,0.0260000000,0.0247500000,0.0231600000,0.0212700000,0.0194500000,0.0175700000,0.0157800000,0.0140300000,0.0123700000,0.0110700000,0.0099450000,0.0089470000,0.0080140000,0.0071340000,0.0064080000,0.0057450000,0.0051470000,0.0045220000,0.0039480000,0.0034990000,0.0031030000,0.0027300000,0.0023780000,0.0020700000,0.0018260000,0.0016230000,0.0014190000,0.0012190000,0.0010750000,0.0009541000,0.0008296000,0.0007388000,0.0006016000,0.0005318000,0.0004746000,0.0004378000,0.0003571000,0.0003228000,0.0003028000,0.0002911000,0.0002955000,0.0002603000,0.0003018000,0.0002702000,0.0002637000,0.0003136000,0.0003316000,0.0003431000,0.0003421000,0.0003714000,0.0004543000,0.0004722000,0.0004668000,0.0005166000,0.0006007000,0.0006604000,
4,3.073170000,0.130036000,0.130036000,3.250900000,3.250900000,2070.000,63.6747,65.0923,17.0928,0.3488,0.6177,5288,0.0000353800,0.0000498400,0.0000575800,0.0000625500,0.0000304500,0.0000383000,0.0000409600,0.0000288500,0.0000312500,0.0000473300,0.0000630100,0.0000449600,0.0000660400,0.0000504700,0.0000447000,0.0000426000,0.0000621000,0.0000751500,0.0000710200,0.0000634900,0.0000884200,0.0001137000,0.0001280000,0.0001962000,0.0002886000,0.0004629000,0.0008382000,0.0015020000,0.0027510000,0.0050460000,0.0089780000,0.0156700000,0.0237000000,0.0325000000,0.0406700000,0.0470100000,0.0508200000,0.0518200000,0.0508500000,0.0488000000,0.0463600000,0.0439600000,0.0416300000,0.0398800000,0.0384400000,0.0369200000,0.0351300000,0.0328400000,0.0301600000,0.0275800000,0.0249100000,0.0223600000,0.0198600000,0.0175000000,0.0156800000,0.0140900000,0.0126800000,0.0113400000,0.0101100000,0.0090920000,0.0081460000,0.0072860000,0.0064120000,0.0056410000,0.0050010000,0.0044070000,0.0039090000,0.0033850000,0.0029720000,0.0026210000,0.0023250000,0.0020530000,0.0017880000,0.0015690000,0.0013920000,0.0012200000,0.0010340000,0.0008913000,0.0008108000,0.0007081000,0.0005924000,0.0005373000,0.0004399000,0.0004130000,0.0003759000,0.0003578000,0.0003741000,0.0003571000,0.0003231000,0.0003397000,0.0003208000,0.0003283000,0.0003730000,0.0004273000,0.0004117000,0.0004360000,0.0004057000,0.0004061000,0.0005120000,0.0004388000,0.0006485000,
5,3.163110000,0.170034000,0.170034000,4.250850000,4.250850000,2671.000,62.8345,62.4070,16.8798,0.3486,0.6185,5291,0.0001793000,0.0001880000,0.0001566000,0.0001244000,0.0001347000,0.0001306000,0.0001149000,0.0000950800,0.0000811900,0.0000503200,0.0000530000,0.0000474900,0.0000530900,0.0000333800,0.0000337700,0.0000216300,0.0000262700,0.0000328900,0.0000242500,0.0000477800,0.0000494600,0.0000595800,0.0000912300,0.0001569000,0.0002775000,0.0005539000,0.0010230000,0.0019090000,0.0035570000,0.0065400000,0.0116600000,0.0203300000,0.0307100000,0.0420800000,0.0526300000,0.0607500000,0.0656600000,0.0669100000,0.0656700000,0.0629800000,0.0598300000,0.0567100000,0.0537300000,0.0514900000,0.0496200000,0.0476500000,0.0453600000,0.0424100000,0.0389100000,0.0355500000,0.0321200000,0.0287900000,0.0255900000,0.0225800000,0.0202100000,0.0181000000,0.0163000000,0.0145900000,0.0129500000,0.0116800000,0.0104600000,0.0093100000,0.0082330000,0.0071790000,0.0063600000,0.0055930000,0.0049310000,0.0042880000,0.0037660000,0.0033130000,0.0029700000,0.0026070000,0.0022790000,0.0020090000,0.0017930000,0.0015910000,0.0014280000,0.0012660000,0.0010920000,0.0009971000,0.0009380000,0.0008046000,0.0007439000,0.0006729000,0.0006408000,0.0005537000,0.0005496000,0.0004557000,0.0004976000,0.0005249000,0.0004896000,0.0005045000,0.0005573000,0.0005533000,0.0004248000,0.0005533000,0.0005272000,0.0005737000,0.0007341000,0.0005589000,0.0006129000,
6,3.221170000,0.200042000,0.200042000,5.001050000,5.001050000,3113.000,62.2469,60.7091,16.7386,0.3487,0.6181,5289,0.0002041000,0.0001724000,0.0001577000,0.0001495000,0.0001024000,0.0000829800,0.0001010000,0.0001012000,0.0000729200,0.0000501700,0.0000534900,0.0000694400,0.0000627100,0.0000623000,0.0000475700,0.0000611100,0.0000627100,0.0000769500,0.0000796200,0.0000830000,0.0000921500,0.0000914000,0.0001424000,0.0001995000,0.0003705000,0.0006517000,0.0011860000,0.0022220000,0.0041250000,0.0076060000,0.0135800000,0.0237300000,0.0358500000,0.0491100000,0.0613900000,0.0708500000,0.0765300000,0.0779400000,0.0764700000,0.0733200000,0.0696500000,0.0660500000,0.0625500000,0.0599600000,0.0577900000,0.0554900000,0.0528300000,0.0494100000,0.0453300000,0.0414100000,0.0373900000,0.0335500000,0.0298500000,0.0263200000,0.0235800000,0.0211700000,0.0190800000,0.0171200000,0.0151900000,0.0136700000,0.0122500000,0.0109300000,0.0096580000,0.0084470000,0.0075030000,0.0066140000,0.0058230000,0.0050230000,0.0044160000,0.0039070000,0.0034160000,0.0029800000,0.0026560000,0.0022960000,0.0020050000,0.0017900000,0.0014940000,0.0013530000,0.0011580000,0.0009988000,0.0009274000,0.0008193000,0.0007034000,0.0006249000,0.0006243000,0.0005506000,0.0004603000,0.0004967000,0.0004568000,0.0004471000,0.0004301000,0.0004849000,0.0005508000,0.0006117000,0.0006831000,0.0007923000,0.0010170000,0.0010110000,0.0010160000,0.0014290000,0.0014680000,
7,3.503740000,0.400047000,0.400047000,10.001175000,10.001175000,5941.000,59.4030,53.2631,15.9165,0.3476,0.6181,5305,0.0001189000,0.0001197000,0.0001425000,0.0001140000,0.0001443000,0.0001604000,0.0001951000,0.0001626000,0.0001568000,0.0001208000,0.0001792000,0.0002175000,0.0001994000,0.0001731000,0.0001723000,0.0001997000,0.0002327000,0.0002170000,0.0002022000,0.0002868000,0.0002983000,0.0003541000,0.0004079000,0.0005059000,0.0008150000,0.0013940000,0.0024430000,0.0043980000,0.0081410000,0.0149200000,0.0265000000,0.0460800000,0.0694300000,0.0948800000,0.1183000000,0.1361000000,0.1467000000,0.1490000000,0.1460000000,0.1399000000,0.1328000000,0.1259000000,0.1193000000,0.1143000000,0.1102000000,0.1058000000,0.1006000000,0.0940000000,0.0862200000,0.0787400000,0.0710300000,0.0636700000,0.0566100000,0.0499100000,0.0447100000,0.0401400000,0.0361100000,0.0323400000,0.0288100000,0.0259100000,0.0231700000,0.0207000000,0.0182800000,0.0160100000,0.0142500000,0.0125300000,0.0110300000,0.0097220000,0.0085180000,0.0075700000,0.0067000000,0.0059810000,0.0051230000,0.0045920000,0.0040470000,0.0035840000,0.0031040000,0.0026850000,0.0023910000,0.0020500000,0.0018810000,0.0015830000,0.0013440000,0.0012260000,0.0010330000,0.0007889000,0.0008149000,0.0006800000,0.0005903000,0.0005745000,0.0005627000,0.0007050000,0.0005894000,0.0003697000,0.0009341000,0.0006989000,0.0007957000,0.0009335000,0.0009665000,0.0007171000,0.0013940000,
8,3.845470000,0.800049000,0.800049000,20.001225000,20.001225000,11160.000,55.7966,45.5835,14.9515,0.3467,0.6191,5319,0.0006231000,0.0002762000,0.0002800000,0.0002594000,0.0002128000,0.0001391000,0.0001427000,0.0002193000,0.0001806000,0.0001338000,0.0000538800,0.0001584000,0.0001671000,0.0001829000,0.0001832000,0.0001937000,0.0002900000,0.0002344000,0.0003479000,0.0003323000,0.0004005000,0.0005325000,0.0007274000,0.0009872000,0.0015290000,0.0025920000,0.0047090000,0.0085630000,0.0157900000,0.0288300000,0.0509900000,0.0884500000,0.1328000000,0.1808000000,0.2246000000,0.2576000000,0.2769000000,0.2807000000,0.2746000000,0.2627000000,0.2493000000,0.2363000000,0.2239000000,0.2147000000,0.2069000000,0.1986000000,0.1888000000,0.1762000000,0.1613000000,0.1471000000,0.1327000000,0.1190000000,0.1057000000,0.0930300000,0.0833500000,0.0748600000,0.0673200000,0.0603200000,0.0537100000,0.0482800000,0.0432100000,0.0386000000,0.0339400000,0.0296900000,0.0264300000,0.0232700000,0.0206500000,0.0179800000,0.0158400000,0.0139100000,0.0123700000,0.0108300000,0.0095320000,0.0082740000,0.0073280000,0.0063800000,0.0056760000,0.0048300000,0.0041960000,0.0038810000,0.0032190000,0.0028790000,0.0024560000,0.0022170000,0.0021080000,0.0019580000,0.0017770000,0.0017280000,0.0014200000,0.0011940000,0.0011030000,0.0011530000,0.0012510000,0.0012570000,0.0014140000,0.0010480000,0.0011530000,0.0011880000,0.0013580000,0.0023220000,0.0033970000,
9,4.076500000,1.200710000,1.200710000,30.017750000,30.017750000,16040.000,53.4351,41.1802,14.3408,0.3461,0.6191,5327,0.0004285000,0.0003782000,0.0002618000,0.0001896000,0.0004263000,0.0003219000,0.0002514000,0.0002693000,0.0003676000,0.0002963000,0.0003076000,0.0003719000,0.0002609000,0.0003483000,0.0005203000,0.0005137000,0.0005071000,0.0005526000,0.0006183000,0.0006400000,0.0008340000,0.0009959000,0.0011800000,0.0013860000,0.0023510000,0.0039300000,0.0069330000,0.0125400000,0.0231700000,0.0421400000,0.0745200000,0.1287000000,0.1928000000,0.2618000000,0.3245000000,0.3715000000,0.3986000000,0.4035000000,0.3942000000,0.3770000000,0.3576000000,0.3389000000,0.3212000000,0.3081000000,0.2969000000,0.2849000000,0.2708000000,0.2525000000,0.2312000000,0.2109000000,0.1901000000,0.1702000000,0.1513000000,0.1333000000,0.1194000000,0.1072000000,0.0964700000,0.0864900000,0.0769700000,0.0692100000,0.0619500000,0.0552000000,0.0487000000,0.0427300000,0.0379800000,0.0335400000,0.0295600000,0.0257200000,0.0225000000,0.0198900000,0.0176100000,0.0156500000,0.0136600000,0.0120300000,0.0104500000,0.0091990000,0.0079240000,0.0069280000,0.0061150000,0.0053950000,0.0043730000,0.0035330000,0.0032800000,0.0030120000,0.0024930000,0.0017570000,0.0015980000,0.0011930000,0.0013770000,0.0018130000,0.0015300000,0.0017800000,0.0021920000,0.0021620000,0.0025760000,0.0037240000,0.0036780000,0.0040370000,0.0056710000,0.0057570000,0.0049920000,
