 [CC] 1.6mA

[Hour Passed(Hrs)],[Time(HH:MM:SS)],[Voltage(V)],[Current(mA)],[Photo Current(uA)],[Relative Luminance(%)]
0,01/26/2026 12:10:40,4.12965,1.60008,37.904,100.000
0.168,01/26/2026 12:20:39,4.12580,1.60001,37.915,99.911
0.334,01/26/2026 12:30:39,4.12579,1.60008,37.899,99.869
0.502,01/26/2026 12:40:42,4.12608,1.60004,37.864,99.777
0.669,01/26/2026 12:50:43,4.12587,1.60006,37.844,99.722
0.836,01/26/2026 13:00:44,4.12669,1.60003,37.864,99.776
1.002,01/26/2026 13:10:42,4.12725,1.60005,37.859,99.763
1.170,01/26/2026 13:20:47,4.12733,1.60005,37.830,99.685
1.336,01/26/2026 13:30:45,4.12805,1.60004,37.862,99.771
1.504,01/26/2026 13:40:50,4.12837,1.60008,37.858,99.759
1.670,01/26/2026 13:50:49,4.12859,1.60009,37.852,99.743
1.837,01/26/2026 14:00:50,4.12836,1.60006,37.820,99.659
2.005,01/26/2026 14:10:53,4.12898,1.60003,37.835,99.700
2.171,01/26/2026 14:20:53,4.12922,1.60006,37.832,99.691
2.338,01/26/2026 14:30:54,4.12941,1.60004,37.819,99.658
2.506,01/26/2026 14:40:56,4.12975,1.60004,37.797,99.600
2.672,01/26/2026 14:50:54,4.13011,1.60005,37.803,99.614
2.839,01/26/2026 15:00:57,4.13018,1.60006,37.788,99.574
3.007,01/26/2026 15:11:00,4.13056,1.60003,37.791,99.583
3.173,01/26/2026 15:20:59,4.13078,1.60002,37.786,99.570
3.341,01/26/2026 15:31:01,4.13092,1.60004,37.770,99.528
3.508,01/26/2026 15:41:04,4.13109,1.60000,37.799,99.605
3.674,01/26/2026 15:51:03,4.13124,1.60003,37.777,99.546
3.842,01/26/2026 16:01:07,4.13143,1.60003,37.774,99.540
4.009,01/26/2026 16:11:08,4.13159,1.60004,37.753,99.482
4.175,01/26/2026 16:21:06,4.13176,1.60006,37.765,99.514
4.343,01/26/2026 16:31:09,4.13192,1.60008,37.766,99.518
4.509,01/26/2026 16:41:08,4.13216,1.60005,37.752,99.480
4.676,01/26/2026 16:51:11,4.13221,1.60002,37.742,99.455
4.844,01/26/2026 17:01:13,4.13236,1.60004,37.734,99.433
5.010,01/26/2026 17:11:13,4.13226,1.60005,37.717,99.389
6.011,01/26/2026 18:11:15,4.13366,1.60004,37.725,99.410
7.010,01/26/2026 19:11:12,4.13566,1.60006,37.688,99.313
8.011,01/26/2026 20:11:15,4.13755,1.60009,37.647,99.205
9.010,01/26/2026 21:11:12,4.13715,1.60007,37.624,99.142
10.011,01/26/2026 22:11:15,4.13737,1.60004,37.589,99.052
11.011,01/26/2026 23:11:14,4.13788,1.60005,37.585,99.042
12.010,01/27/2026 00:11:11,4.13868,1.60007,37.556,98.964
13.011,01/27/2026 01:11:14,4.13938,1.60009,37.545,98.936
14.011,01/27/2026 02:11:15,4.14002,1.60001,37.516,98.859
15.010,01/27/2026 03:11:11,4.14091,1.60004,37.509,98.841
16.010,01/27/2026 04:11:12,4.14154,1.60010,37.452,98.690
17.011,01/27/2026 05:11:14,4.14212,1.60005,37.466,98.727
18.010,01/27/2026 06:11:12,4.14271,1.60006,37.423,98.615
19.010,01/27/2026 07:11:13,4.14341,1.60006,37.407,98.571
20.010,01/27/2026 08:11:12,4.14418,1.60005,37.411,98.581
21.010,01/27/2026 09:11:12,4.14478,1.60006,37.406,98.568
22.011,01/27/2026 10:11:14,4.14785,1.60010,37.397,98.544
23.010,01/27/2026 11:11:11,4.14662,1.60006,37.377,98.491
24.010,01/27/2026 12:11:12,4.14626,1.60006,37.362,98.453
25.010,01/27/2026 13:11:13,4.14667,1.60003,37.320,98.343
26.010,01/27/2026 14:11:11,4.14689,1.60002,37.293,98.270
27.010,01/27/2026 15:11:13,4.14745,1.60004,37.282,98.243
28.011,01/27/2026 16:11:16,4.14846,1.60005,37.272,98.217
29.011,01/27/2026 17:11:14,4.14904,1.60003,37.240,98.130
30.010,01/27/2026 18:11:13,4.14961,1.60005,37.249,98.154
31.011,01/27/2026 19:11:13,4.15035,1.60009,37.237,98.124
32.010,01/27/2026 20:11:13,4.15081,1.60005,37.218,98.072
33.010,01/27/2026 21:11:13,4.15125,1.60008,37.204,98.036
34.011,01/27/2026 22:11:14,4.15156,1.60005,37.208,98.047
35.011,01/27/2026 23:11:14,4.15209,1.60004,37.173,97.955
36.011,01/28/2026 00:11:14,4.15253,1.60008,37.165,97.933
37.011,01/28/2026 01:11:14,4.15298,1.60006,37.149,97.891
38.011,01/28/2026 02:11:16,4.15349,1.60006,37.143,97.876
