 [CC] 1.6mA

[Hour Passed(Hrs)],[Time(HH:MM:SS)],[Voltage(V)],[Current(mA)],[Photo Current(uA)],[Relative Luminance(%)]
0,02/02/2026 14:29:28,4.13744,1.60092,36.556,100.000
0.168,02/02/2026 14:39:30,4.13175,1.60088,36.383,99.677
0.335,02/02/2026 14:49:28,4.13429,1.60087,36.476,99.934
0.502,02/02/2026 14:59:29,4.13517,1.60087,36.514,100.037
0.669,02/02/2026 15:09:33,4.13492,1.60087,36.456,99.879
0.836,02/02/2026 15:19:32,4.13557,1.60090,36.445,99.847
1.003,02/02/2026 15:29:34,4.13576,1.60088,36.454,99.872
1.170,02/02/2026 15:39:35,4.13615,1.60089,36.451,99.864
1.337,02/02/2026 15:49:37,4.13684,1.60087,36.482,99.948
1.504,02/02/2026 15:59:38,4.13729,1.60084,36.443,99.843
1.670,02/02/2026 16:09:36,4.13760,1.60087,36.461,99.891
1.837,02/02/2026 16:19:37,4.13761,1.60087,36.450,99.860
2.004,02/02/2026 16:29:39,4.13786,1.60085,36.440,99.834
2.171,02/02/2026 16:39:40,4.13806,1.60087,36.429,99.804
2.338,02/02/2026 16:49:42,4.13805,1.60085,36.436,99.822
2.505,02/02/2026 16:59:43,4.13852,1.60088,36.424,99.792
2.672,02/02/2026 17:09:44,4.13841,1.60086,36.382,99.674
2.839,02/02/2026 17:19:44,4.13904,1.60090,36.415,99.766
3.007,02/02/2026 17:29:48,4.13932,1.60090,36.388,99.691
3.174,02/02/2026 17:39:49,4.13947,1.60089,36.372,99.647
3.341,02/02/2026 17:49:51,4.13951,1.60091,36.373,99.650
3.507,02/02/2026 17:59:48,4.13954,1.60090,36.383,99.679
3.674,02/02/2026 18:09:50,4.13983,1.60088,36.375,99.655
3.842,02/02/2026 18:19:54,4.13999,1.60092,36.351,99.590
4.008,02/02/2026 18:29:53,4.14014,1.60090,36.339,99.558
4.175,02/02/2026 18:39:54,4.14010,1.60088,36.353,99.595
4.342,02/02/2026 18:49:56,4.14042,1.60089,36.328,99.529
4.510,02/02/2026 18:59:59,4.14054,1.60091,36.318,99.501
4.677,02/02/2026 19:10:01,4.14048,1.60091,36.303,99.458
4.843,02/02/2026 19:20:00,4.14063,1.60091,36.300,99.451
5.011,02/02/2026 19:30:02,4.14093,1.60092,36.310,99.478
6.011,02/02/2026 20:30:02,4.14231,1.60088,36.262,99.346
7.010,02/02/2026 21:29:59,4.14277,1.60094,36.227,99.251
8.010,02/02/2026 22:29:59,4.14397,1.60099,36.265,99.354
9.010,02/02/2026 23:30:01,4.14520,1.60098,36.242,99.290
10.011,02/03/2026 00:30:02,4.14616,1.60092,36.232,99.265
11.010,02/03/2026 01:30:00,4.14603,1.60094,36.123,98.965
12.010,02/03/2026 02:30:00,4.14773,1.60095,36.205,99.190
13.010,02/03/2026 03:30:00,4.14869,1.60096,36.125,98.970
14.010,02/03/2026 04:30:01,4.14942,1.60096,36.176,99.112
15.011,02/03/2026 05:30:02,4.15052,1.60100,36.147,99.032
16.010,02/03/2026 06:29:59,4.15131,1.60101,36.130,98.986
17.010,02/03/2026 07:30:00,4.15199,1.60101,36.104,98.914
18.010,02/03/2026 08:30:01,4.15251,1.60096,36.137,99.005
19.010,02/03/2026 09:30:01,4.15291,1.60092,36.087,98.867
20.010,02/03/2026 10:30:01,4.15304,1.60093,36.031,98.715
21.011,02/03/2026 11:30:02,4.15320,1.60092,36.050,98.767
22.011,02/03/2026 12:30:03,4.15409,1.60096,36.055,98.778
23.011,02/03/2026 13:30:02,4.15503,1.60102,36.036,98.728
24.011,02/03/2026 14:30:02,4.15545,1.60096,36.025,98.697
25.011,02/03/2026 15:30:01,4.15658,1.60106,36.022,98.688
26.010,02/03/2026 16:29:59,4.15768,1.60106,35.991,98.604
27.011,02/03/2026 17:30:02,4.15781,1.60093,35.955,98.506
28.011,02/03/2026 18:30:03,4.15810,1.60105,35.940,98.464
29.011,02/03/2026 19:30:02,4.15839,1.60104,35.946,98.480
30.011,02/03/2026 20:30:04,4.15874,1.60096,35.919,98.407
31.010,02/03/2026 21:29:59,4.15890,1.60094,35.881,98.302
32.011,02/03/2026 22:30:02,4.15913,1.60094,35.866,98.262
33.010,02/03/2026 23:30:01,4.15934,1.60099,35.872,98.278
34.010,02/04/2026 00:29:59,4.15977,1.60091,35.845,98.203
35.011,02/04/2026 01:30:02,4.16020,1.60090,35.853,98.225
36.010,02/04/2026 02:30:00,4.16048,1.60089,35.827,98.154
37.010,02/04/2026 03:30:00,4.16106,1.60089,35.836,98.178
38.010,02/04/2026 04:29:59,4.16151,1.60084,35.802,98.085
39.010,02/04/2026 05:30:01,4.16186,1.60085,35.743,97.924
40.011,02/04/2026 06:30:03,4.16290,1.60101,35.765,97.986
41.010,02/04/2026 07:30:01,4.16355,1.60102,35.775,98.013
